Sample_ID,Replicate,Lithology ,Mineralogy,Phase,Analytical_Method,Chemistry,d33,d33_2sd,d34,sig_d34s,d36,d36_2sd,D33S,sig_D33S,D36S,sig_D36S,age_max,age_min,age_mean,Age_uncertainty,Age_method,age_source,Craton,Supergroup ,Group ,Subgroup,Formation ,Member,GSDBFM,Core,core_rim,Depth,Source,DOI,Publication_Date,NON_ATM_FLAG,MC_comment
CL1_104.99-105.00m,1038-53_4.1,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,0.64,0.25,,,-0.29,0.10,,,3022,3015,3018.5,,,"Nelson 1997, 1998; Australian Stratigraphy Database",Pilbara,De Grey Supergroup,Gorge Creek,,Cleaverville,,,CL1,,104.995,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
CL1_104.99-105.00m,1038-53_4.1',Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,9.25,0.13,,,-0.18,0.10,,,3022,3015,3018.5,,,"Nelson 1997, 1998; Australian Stratigraphy Database",Pilbara,De Grey Supergroup,Gorge Creek,,Cleaverville,,,CL1,,104.995,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
CL1_104.99-105.00m,1038-53_4.11,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,-1.02,0.31,,,0.07,0.12,,,3022,3015,3018.5,,,"Nelson 1997, 1998; Australian Stratigraphy Database",Pilbara,De Grey Supergroup,Gorge Creek,,Cleaverville,,,CL1,,104.995,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
CL1_102.71-102.72m,1038-24_9,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,2.44,0.34,,,0.06,0.07,,,3022,3015,3018.5,,,"Nelson 1997, 1998; Australian Stratigraphy Database",Pilbara,De Grey Supergroup,Gorge Creek,,Cleaverville,,,CL1,,102.715,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
CL1_80.76-80.77m,1038-53_3.2,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,44.65,0.13,,,-0.37,0.12,,,3022,3015,3018.5,,,"Nelson 1997, 1998; Australian Stratigraphy Database",Pilbara,De Grey Supergroup,Gorge Creek,,Cleaverville,,,CL1,,80.765,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
CL1_80.76-80.77m,1038-53_3.4,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,-10.77,0.12,,,-0.18,0.18,,,3022,3015,3018.5,,,"Nelson 1997, 1998; Australian Stratigraphy Database",Pilbara,De Grey Supergroup,Gorge Creek,,Cleaverville,,,CL1,,80.765,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
CL1_80.76-80.77m,1038-53_3.2',Shale,"Pyrite, Mixture of generation one and two",Sulfide,SHRIMP-SI,,,,46.43,0.07,,,0.05,0.07,,,3022,3015,3018.5,,,"Nelson 1997, 1998; Australian Stratigraphy Database",Pilbara,De Grey Supergroup,Gorge Creek,,Cleaverville,,,CL1,,80.765,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
CL1_80.76-80.77m,1038-53_3.3,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,16.95,0.37,,,0.23,0.07,,,3022,3015,3018.5,,,"Nelson 1997, 1998; Australian Stratigraphy Database",Pilbara,De Grey Supergroup,Gorge Creek,,Cleaverville,,,CL1,,80.765,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
CL1_104.99-105.00m,1038-53_4.7,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,6.09,1.07,,,0.23,0.05,,,3022,3015,3018.5,,,"Nelson 1997, 1998; Australian Stratigraphy Database",Pilbara,De Grey Supergroup,Gorge Creek,,Cleaverville,,,CL1,,104.995,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
CL1_104.99-105.00m,1038-53_4.1,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,0.64,0.25,,,-0.29,0.10,,,3022,3015,3018.5,,,"Nelson 1997, 1998; Australian Stratigraphy Database",Pilbara,De Grey Supergroup,Gorge Creek,,Cleaverville,,,CL1,,104.995,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
CL1_104.99-105.00m,1038-53_4.1',Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,9.25,0.13,,,-0.18,0.10,,,3022,3015,3018.5,,,"Nelson 1997, 1998; Australian Stratigraphy Database",Pilbara,De Grey Supergroup,Gorge Creek,,Cleaverville,,,CL1,,104.995,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
CL1_104.99-105.00m,1038-53_4.11,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,-1.02,0.31,,,0.07,0.12,,,3022,3015,3018.5,,,"Nelson 1997, 1998; Australian Stratigraphy Database",Pilbara,De Grey Supergroup,Gorge Creek,,Cleaverville,,,CL1,,104.995,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
CL1_102.71-102.72m,1038-24_9,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,2.44,0.34,,,0.06,0.07,,,3022,3015,3018.5,,,"Nelson 1997, 1998; Australian Stratigraphy Database",Pilbara,De Grey Supergroup,Gorge Creek,,Cleaverville,,,CL1,,102.715,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_143.57-143.59m,1038-25_1,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic or epigenetic",Sulfide,SHRIMP-SI,,,,-2.42,0.08,,,-0.10,0.02,0.40,0.16,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,143.58,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_143.57-143.59m,1038-25_3,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic or epigenetic",Sulfide,SHRIMP-SI,,,,-2.45,0.06,,,-0.08,0.02,0.07,0.13,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,143.58,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_143.57-143.59m,1038-25_6.2,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,2.88,0.06,,,0.04,0.02,0.01,0.11,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,143.58,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_143.57-143.59m,1038-25_4.1,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,8.13,0.08,,,0.12,0.02,0.41,0.19,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,143.58,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_143.57-143.59m,1038-25_4.2,Shale,"Pyrite, Generation two_Epigenetic",Sulfide,SHRIMP-SI,,,,0.20,0.06,,,0.06,0.02,0.11,0.13,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,143.58,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_132.26-132.28m,1038-25_12.1,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,12.19,0.05,,,-0.11,0.02,0.27,0.16,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,132.27,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_132.26-132.28m,1038-25_14.1,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,15.55,0.09,,,-0.06,0.02,0.32,0.15,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,132.27,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_132.26-132.28m,1038-25_14.1',Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,13.88,0.08,,,-0.12,0.03,0.00,0.12,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,132.27,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_132.26-132.28m,1038-25_15.1,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,13.09,0.10,,,-0.16,0.03,0.35,0.13,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,132.27,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_132.26-132.28m,1038-54_1,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,9.20,0.13,,,-0.26,0.06,,,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,132.27,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_132.26-132.28m,1038-54_5.1,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,8.14,0.07,,,-0.11,0.05,,,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,132.27,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_132.26-132.28m,1038-54_2,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,7.55,0.08,,,-0.15,0.06,,,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,132.27,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_132.26-132.28m,1038-54_3,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,9.15,0.05,,,-0.02,0.05,,,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,132.27,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_132.26-132.28m,1038-54_4,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,1.63,0.18,,,0.20,0.04,,,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,132.27,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_132.26-132.28m,1038-54_5.2,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,4.27,0.06,,,0.07,0.05,,,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,132.27,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_92.22-92.26m,1038-53_1.1,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic or epigenetic",Sulfide,SHRIMP-SI,,,,-7.57,0.07,,,0.07,0.02,-0.20,0.13,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,92.24,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_92.22-92.26m,1038-53_1.10,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic or epigenetic",Sulfide,SHRIMP-SI,,,,-9.16,0.08,,,-0.07,0.02,-0.32,0.16,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,92.24,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_92.22-92.26m,1038-53_1.15,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic or epigenetic",Sulfide,SHRIMP-SI,,,,-8.65,0.05,,,0.09,0.02,-0.20,0.14,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,92.24,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_92.22-92.26m,1038-53_1.6,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic or epigenetic",Sulfide,SHRIMP-SI,,,,-6.54,0.06,,,-0.01,0.02,0.00,0.14,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,92.24,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_92.22-92.26m,1038-53_1.9,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic or epigenetic",Sulfide,SHRIMP-SI,,,,-14.74,0.07,,,0.04,0.02,-0.29,0.15,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,92.24,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_92.22-92.26m,1038-53_1.9',Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic or epigenetic",Sulfide,SHRIMP-SI,,,,-8.82,0.06,,,0.05,0.02,0.05,0.17,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,92.24,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_92.22-92.26m,1038-53_1.15',Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic or epigenetic",Sulfide,SHRIMP-SI,,,,1.58,0.13,,,0.04,0.02,-0.40,0.17,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,92.24,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_92.22-92.26m,1038-53_5.41,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,1.24,0.18,,,0.17,0.08,,,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,92.24,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_92.22-92.26m,1038-53_5.32,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,-2.28,0.10,,,0.04,0.07,,,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,92.24,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_92.22-92.26m,1038-53_5.32',Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,-1.39,0.41,,,0.16,0.07,,,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,92.24,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_92.22-92.26m,1038-53_2.5,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,-7.03,0.08,,,0.17,0.09,,,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,92.24,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_92.22-92.26m,1038-53_1.4,Shale,"Pyrite, Generation two_Epigenetic",Sulfide,SHRIMP-SI,,,,4.51,0.02,,,0.03,0.02,-0.10,0.15,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,92.24,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_92.22-92.26m,1038-53_1.16,Shale,"Pyrite, Generation two_Epigenetic",Sulfide,SHRIMP-SI,,,,6.44,0.05,,,0.08,0.02,-0.28,0.13,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,92.24,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_126.26-126.31m,1038-24_1.1,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,11.98,0.15,,,-0.41,0.06,,,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,126.285,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_126.26-126.31m,1038-24_1.2,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,16.49,0.36,,,-0.27,0.05,,,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,126.285,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_126.26-126.31m,1038-24_2.1,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,10.96,0.12,,,-0.42,0.06,,,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,126.285,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_126.26-126.31m,1038-24_4.1,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,8.86,0.11,,,-0.46,0.05,,,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,126.285,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_126.26-126.31m,1038-24_4.3,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,10.19,0.06,,,-0.34,0.06,,,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,126.285,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_126.26-126.31m,1038-24_4.2,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,11.76,0.12,,,-0.32,0.07,,,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,126.285,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_126.26-126.31m,1038-24_5,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,14.77,0.07,,,-0.19,0.06,,,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,126.285,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_126.26-126.31m,1038-52_1.4_1,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,0.68,0.06,,,-0.49,0.06,,,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,126.285,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_126.26-126.31m,1038-52_1.4_2,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,0.90,0.08,,,-0.77,0.06,,,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,126.285,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_126.26-126.31m,1038-52_1.5_1,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,0.06,0.04,,,-0.48,0.04,,,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,126.285,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_126.26-126.31m,1038-52_1.5_2,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,5.63,0.17,,,-0.37,0.05,,,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,126.285,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_126.26-126.31m,1038-52_1.5_3,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,5.14,0.10,,,-0.61,0.04,,,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,126.285,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_126.26-126.31m,1038-52_15.1,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,22.14,0.13,,,-0.16,0.04,,,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,126.285,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_126.26-126.31m,1038-52_15.2,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,14.57,0.05,,,-0.24,0.06,,,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,126.285,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_126.26-126.31m,1038-52_2.9.1,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,0.85,0.08,,,-0.13,0.05,,,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,126.285,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_126.26-126.31m,1038-52_2.5,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,19.34,0.20,,,-0.26,0.05,,,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,126.285,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_126.26-126.31m,1038-52_2.10,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,-10.71,0.06,,,-0.23,0.05,,,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,126.285,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_126.26-126.31m,1038-52_2.3.1,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic",Sulfide,SHRIMP-SI,,,,-10.51,0.12,,,-0.24,0.07,,,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,126.285,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_126.26-126.31m,1038-24_10,Shale,"Pyrite, Generation two_Epigenetic",Sulfide,SHRIMP-SI,,,,9.61,0.04,,,-0.04,0.05,,,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,126.285,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_126.26-126.31m,1038-24_11.1,Shale,"Pyrite, Generation two_Epigenetic",Sulfide,SHRIMP-SI,,,,13.35,0.07,,,-0.11,0.06,,,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,126.285,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_126.26-126.31m,1038-24_16,Shale,"Pyrite, Generation two_Epigenetic",Sulfide,SHRIMP-SI,,,,11.58,0.10,,,0.09,0.06,,,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,126.285,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_126.26-126.31m,1038-52_2.8,Shale,"Pyrite, Generation two_Epigenetic",Sulfide,SHRIMP-SI,,,,5.09,0.09,,,2.58,0.08,,,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,126.285,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_88.80-88.81m,1038-52_3.1,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic or epigenetic",Sulfide,SHRIMP-SI,,,,20.16,0.09,,,0.05,0.07,,,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,88.805,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_88.80-88.81m,1038-52_3.9,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic or epigenetic",Sulfide,SHRIMP-SI,,,,18.64,0.08,,,0.04,0.07,,,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,88.805,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_88.80-88.81m,1038-52_3.13_1,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic or epigenetic",Sulfide,SHRIMP-SI,,,,17.99,0.05,,,0.04,0.07,,,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,88.805,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
DX_88.80-88.81m,1038-52_3.13_2,Shale,"Pyrite, Generation one_Hydrothermally altered diagenetic or epigenetic",Sulfide,SHRIMP-SI,,,,19.88,0.10,,,0.08,0.06,,,3210,3180,3195,,,"Kiyokawa et al., 2002",Pilbara,Regal Terrane,,,Dixon Island,,,DX,,88.805,"Liu et al., 2020",﻿10.1016/j.chemgeo.2020.119837,2020,diagentic or detrital,
